sa3_name,year,sa3_income_percentile
Bringelly - Green Valley,2013,29
Bringelly - Green Valley,2014,32
Bringelly - Green Valley,2015,34
Bringelly - Green Valley,2016,40
Brisbane Inner,2011,73
Brisbane Inner,2012,76
Brisbane Inner,2013,75
Brisbane Inner,2014,78
Brisbane Inner,2015,75
Brisbane Inner,2016,70
Brisbane Inner - East,2011,92
Brisbane Inner - East,2012,94
Brisbane Inner - East,2013,93
Brisbane Inner - East,2014,94
Brisbane Inner - East,2015,94
Brisbane Inner - East,2016,95
Brisbane Inner - North,2011,94
Brisbane Inner - North,2012,95
Brisbane Inner - North,2013,93
Brisbane Inner - North,2014,93
Brisbane Inner - North,2015,94
Brisbane Inner - North,2016,92
Brisbane Inner - West,2011,93
Brisbane Inner - West,2012,94
Brisbane Inner - West,2013,94
Brisbane Inner - West,2014,94
Brisbane Inner - West,2015,93
Brisbane Inner - West,2016,94
Broadbeach - Burleigh,2011,29
Broadbeach - Burleigh,2012,30
Broadbeach - Burleigh,2013,35
Broadbeach - Burleigh,2014,40
Broadbeach - Burleigh,2015,40
Broadbeach - Burleigh,2016,38
Broken Hill and Far West,2011,36
Broken Hill and Far West,2012,41
Broken Hill and Far West,2013,44
Broken Hill and Far West,2014,42
Broken Hill and Far West,2015,43
Broken Hill and Far West,2016,44
Browns Plains,2011,19
Browns Plains,2012,19
Browns Plains,2013,18
Browns Plains,2014,19
Browns Plains,2015,17
Browns Plains,2016,14
Brunswick - Coburg,2011,56
Brunswick - Coburg,2012,54
Brunswick - Coburg,2013,52
Brunswick - Coburg,2014,52
Brunswick - Coburg,2015,55
Brunswick - Coburg,2016,59
Buderim,2011,35
Buderim,2012,42
Buderim,2013,44
Buderim,2014,48
Buderim,2015,47
Buderim,2016,45
Bunbury,2011,73
Bunbury,2012,76
Bunbury,2013,76
Bunbury,2014,77
Bunbury,2015,77
Bunbury,2016,72
Bundaberg,2011,9
Bundaberg,2012,16
Bundaberg,2013,17
Bundaberg,2014,16
Bundaberg,2015,15
Bundaberg,2016,13
Burnett,2011,5
Burnett,2012,9
Burnett,2013,12
Burnett,2014,10
Burnett,2015,8
Burnett,2016,8
Burnie - Ulverstone,2011,16
Burnie - Ulverstone,2012,15
Burnie - Ulverstone,2013,16
Burnie - Ulverstone,2014,16
Burnie - Ulverstone,2015,18
Burnie - Ulverstone,2016,16
Burnside,2011,89
Burnside,2012,88
Burnside,2013,87
Burnside,2014,88
Burnside,2015,88
Burnside,2016,88
Caboolture,2011,7
Caboolture,2012,8
Caboolture,2013,8
Caboolture,2014,9
Caboolture,2015,8
Caboolture,2016,6
Caboolture Hinterland,2011,15
Caboolture Hinterland,2012,15
Caboolture Hinterland,2013,19
Caboolture Hinterland,2014,27
Caboolture Hinterland,2015,24
Caboolture Hinterland,2016,17
Cairns - North,2011,52
Cairns - North,2012,54
Cairns - North,2013,54
Cairns - North,2014,54
Cairns - North,2015,54
Cairns - North,2016,52
Cairns - South,2011,23
Cairns - South,2012,24
Cairns - South,2013,23
Cairns - South,2014,20
Cairns - South,2015,19
Cairns - South,2016,17
Caloundra,2011,25
Caloundra,2012,31
Caloundra,2013,42
Caloundra,2014,44
Caloundra,2015,42
Caloundra,2016,38
Camden,2011,70
Camden,2012,68
Camden,2013,66
Camden,2014,65
Camden,2015,66
Camden,2016,69
Campaspe,2011,5
Campaspe,2012,4
Campaspe,2013,4
Campaspe,2014,3
Campaspe,2015,5
Campaspe,2016,5
Campbelltown (NSW),2011,37
Campbelltown (NSW),2012,35
Campbelltown (NSW),2013,31
Campbelltown (NSW),2014,29
Campbelltown (NSW),2015,30
Campbelltown (NSW),2016,32
Campbelltown (SA),2011,38
Campbelltown (SA),2012,39
Campbelltown (SA),2013,38
Campbelltown (SA),2014,40
Campbelltown (SA),2015,39
Campbelltown (SA),2016,37
Canada Bay,2011,95
Canada Bay,2012,93
Canada Bay,2013,91
Canada Bay,2014,91
Canada Bay,2015,92
Canada Bay,2016,92
Canberra East,2011,52
Canberra East,2012,49
Canberra East,2013,51
Canberra East,2014,49
Canberra East,2015,30
Canberra East,2016,34
Canning,2011,65
Canning,2012,64
Canning,2013,64
Canning,2014,64
Canning,2015,64
Canning,2016,61
Canterbury,2011,17
Canterbury,2012,14
Canterbury,2013,13
Canterbury,2014,13
Canterbury,2015,14
Canterbury,2016,15
Capalaba,2011,56
Capalaba,2012,57
Capalaba,2013,57
Capalaba,2014,56
Capalaba,2015,58
Capalaba,2016,56
Cardinia,2011,34
Cardinia,2012,29
Cardinia,2013,28
Cardinia,2014,28
Cardinia,2015,28
Cardinia,2016,29
Carindale,2011,81
Carindale,2012,84
Carindale,2013,82
Carindale,2014,81
Carindale,2015,81
Carindale,2016,82
Carlingford,2011,66
Carlingford,2012,63
Carlingford,2013,61
Carlingford,2014,61
Carlingford,2015,61
Carlingford,2016,63
Casey - North,2011,40
Casey - North,2012,36
Casey - North,2013,33
Casey - North,2014,32
Casey - North,2015,32
Casey - North,2016,33
Casey - South,2011,26
Casey - South,2012,22
Casey - South,2013,20
Casey - South,2014,21
Casey - South,2015,20
Casey - South,2016,21
Centenary,2011,86
Centenary,2012,84
Centenary,2013,82
Centenary,2014,79
Centenary,2015,80
Centenary,2016,78
Central Highlands (Qld),2011,91
Central Highlands (Qld),2012,91
Central Highlands (Qld),2013,92
Central Highlands (Qld),2014,91
Central Highlands (Qld),2015,90
Central Highlands (Qld),2016,87
Central Highlands (Tas.),2011,2
Central Highlands (Tas.),2012,2
Central Highlands (Tas.),2013,3
Central Highlands (Tas.),2014,3
Central Highlands (Tas.),2015,2
Central Highlands (Tas.),2016,2
Charles Sturt,2011,43
Charles Sturt,2012,41
Charles Sturt,2013,41
Charles Sturt,2014,42
Charles Sturt,2015,44
Charles Sturt,2016,42
Charters Towers - Ayr - Ingham,2011,20
Charters Towers - Ayr - Ingham,2012,27
Charters Towers - Ayr - Ingham,2013,26
Charters Towers - Ayr - Ingham,2014,22
Charters Towers - Ayr - Ingham,2015,21
Charters Towers - Ayr - Ingham,2016,16
Chatswood - Lane Cove,2011,98
Chatswood - Lane Cove,2012,98
Chatswood - Lane Cove,2013,98
Chatswood - Lane Cove,2014,97
Chatswood - Lane Cove,2015,97
Chatswood - Lane Cove,2016,97
Chermside,2011,68
Chermside,2012,71
Chermside,2013,70
Chermside,2014,72
Chermside,2015,71
Chermside,2016,71
Christmas Island,2011,88
Christmas Island,2012,91
Christmas Island,2013,93
Christmas Island,2014,92
Christmas Island,2015,91
Christmas Island,2016,88
Clarence Valley,2011,3
Clarence Valley,2012,3
Clarence Valley,2013,3
Clarence Valley,2014,3
Clarence Valley,2015,3
Clarence Valley,2016,6
Cleveland - Stradbroke,2011,59
Cleveland - Stradbroke,2012,62
Cleveland - Stradbroke,2013,63
Cleveland - Stradbroke,2014,63
Cleveland - Stradbroke,2015,63
Cleveland - Stradbroke,2016,62
Cockburn,2011,75
Cockburn,2012,77
Cockburn,2013,80
Cockburn,2014,80
Cockburn,2015,81
Cockburn,2016,77
Cocos (Keeling) Islands,2013,1
Cocos (Keeling) Islands,2014,1
Coffs Harbour,2011,6
Coffs Harbour,2012,6
Coffs Harbour,2013,9
Coffs Harbour,2014,8
Coffs Harbour,2015,10
Coffs Harbour,2016,9
Colac - Corangamite,2011,3
Colac - Corangamite,2012,2
Colac - Corangamite,2013,2
Colac - Corangamite,2014,2
Colac - Corangamite,2015,2
Colac - Corangamite,2016,2
Coolangatta,2011,20
Coolangatta,2012,24
Coolangatta,2013,27
Coolangatta,2014,30
Coolangatta,2015,33
Coolangatta,2016,30
Cottesloe - Claremont,2011,99
Cottesloe - Claremont,2012,100
Cottesloe - Claremont,2013,100
Cottesloe - Claremont,2014,100
Cottesloe - Claremont,2015,100
Cottesloe - Claremont,2016,100
Creswick - Daylesford - Ballan,2011,21
Creswick - Daylesford - Ballan,2012,18
Creswick - Daylesford - Ballan,2013,19
Creswick - Daylesford - Ballan,2014,18
Creswick - Daylesford - Ballan,2015,22
Creswick - Daylesford - Ballan,2016,25
Cronulla - Miranda - Caringbah,2011,86
Cronulla - Miranda - Caringbah,2012,84
Cronulla - Miranda - Caringbah,2013,81
Cronulla - Miranda - Caringbah,2014,80
Cronulla - Miranda - Caringbah,2015,83
Cronulla - Miranda - Caringbah,2016,87
Daly - Tiwi - West Arnhem,2011,26
Daly - Tiwi - West Arnhem,2012,40
Daly - Tiwi - West Arnhem,2013,44
Daly - Tiwi - West Arnhem,2014,42
Daly - Tiwi - West Arnhem,2015,39
Daly - Tiwi - West Arnhem,2016,39
Dandenong,2011,7
Dandenong,2012,6
Dandenong,2013,5
Dandenong,2014,5
Dandenong,2015,4
Dandenong,2016,4
Dapto - Port Kembla,2011,53
Dapto - Port Kembla,2012,51
Dapto - Port Kembla,2013,49
Dapto - Port Kembla,2014,48
Dapto - Port Kembla,2015,47
Dapto - Port Kembla,2016,47
Darebin - North,2011,30
Darebin - North,2012,27
Darebin - North,2013,25
Darebin - North,2014,24
Darebin - North,2015,25
Darebin - North,2016,28
Darebin - South,2011,76
Darebin - South,2012,72
Darebin - South,2013,69
Darebin - South,2014,71
Darebin - South,2015,73
Darebin - South,2016,73
Darling Downs - East,2011,14
Darling Downs - East,2012,20
Darling Downs - East,2013,30
Darling Downs - East,2014,31
Darling Downs - East,2015,25
Darling Downs - East,2016,19
Darling Downs (West) - Maranoa,2011,13
Darling Downs (West) - Maranoa,2012,25
Darling Downs (West) - Maranoa,2013,31
Darling Downs (West) - Maranoa,2014,33
Darling Downs (West) - Maranoa,2015,28
Darling Downs (West) - Maranoa,2016,29
Darwin City,2011,72
Darwin City,2012,73
Darwin City,2013,72
Darwin City,2014,79
Darwin City,2015,86
Darwin City,2016,90
Darwin Suburbs,2011,70
Darwin Suburbs,2012,70
Darwin Suburbs,2013,72
Darwin Suburbs,2014,74
Darwin Suburbs,2015,76
Darwin Suburbs,2016,77
Devonport,2011,10
Devonport,2012,9
Devonport,2013,9
Devonport,2014,10
Devonport,2015,9
Devonport,2016,9
Dubbo,2011,16
Dubbo,2012,16
Dubbo,2013,15
Dubbo,2014,14
Dubbo,2015,17
Dubbo,2016,19
Dural - Wisemans Ferry,2011,88
Dural - Wisemans Ferry,2012,87
Dural - Wisemans Ferry,2013,85
Dural - Wisemans Ferry,2014,80
Dural - Wisemans Ferry,2015,80
Dural - Wisemans Ferry,2016,83
East Arnhem,2011,91
East Arnhem,2012,94
East Arnhem,2013,94
East Arnhem,2014,93
East Arnhem,2015,92
East Arnhem,2016,85
East Pilbara,2011,97
East Pilbara,2012,98
East Pilbara,2013,99
East Pilbara,2014,98
East Pilbara,2015,98
East Pilbara,2016,97
Eastern Suburbs - North,2011,99
Eastern Suburbs - North,2012,98
Eastern Suburbs - North,2013,98
Eastern Suburbs - North,2014,98
Eastern Suburbs - North,2015,98
Eastern Suburbs - North,2016,98
Eastern Suburbs - South,2011,89
Eastern Suburbs - South,2012,88
Eastern Suburbs - South,2013,88
Eastern Suburbs - South,2014,89
Eastern Suburbs - South,2015,89
Eastern Suburbs - South,2016,92
Esperance,2011,30
Esperance,2012,36
Esperance,2013,40
Esperance,2014,40
Esperance,2015,38
Esperance,2016,40
Essendon,2011,85
Essendon,2012,81
Essendon,2013,78
Essendon,2014,78
Essendon,2015,78
Essendon,2016,80
Eyre Peninsula and South West,2011,27
Eyre Peninsula and South West,2012,33
Eyre Peninsula and South West,2013,35
Eyre Peninsula and South West,2014,37
Eyre Peninsula and South West,2015,38
Eyre Peninsula and South West,2016,28
Fairfield,2011,12
Fairfield,2012,10
Fairfield,2013,9
Fairfield,2014,8
Fairfield,2015,9
Fairfield,2016,11
Far North,2011,13
Far North,2012,13
Far North,2013,23
Far North,2014,20
Far North,2015,24
Far North,2016,25
Fleurieu - Kangaroo Island,2011,2
Fleurieu - Kangaroo Island,2012,3
Fleurieu - Kangaroo Island,2013,3
Fleurieu - Kangaroo Island,2014,3
Fleurieu - Kangaroo Island,2015,4
Fleurieu - Kangaroo Island,2016,3
Forest Lake - Oxley,2011,30
Forest Lake - Oxley,2012,32
Forest Lake - Oxley,2013,32
Forest Lake - Oxley,2014,29
Forest Lake - Oxley,2015,26
Forest Lake - Oxley,2016,23
Frankston,2011,32
Frankston,2012,29
Frankston,2013,28
Frankston,2014,27
Frankston,2015,29
Frankston,2016,31
Fremantle,2011,88
Fremantle,2012,90
Fremantle,2013,91
Fremantle,2014,92
Fremantle,2015,90
Fremantle,2016,89
Gascoyne,2011,35
Gascoyne,2012,44
Gascoyne,2013,44
Gascoyne,2014,49
Gascoyne,2015,46
Gascoyne,2016,43
Gawler - Two Wells,2011,29
Gawler - Two Wells,2012,31
Gawler - Two Wells,2013,30
Gawler - Two Wells,2014,33
Gawler - Two Wells,2015,33
Gawler - Two Wells,2016,29
Geelong,2011,39
Geelong,2012,37
Geelong,2013,37
Geelong,2014,34
Geelong,2015,35
Geelong,2016,35
Gippsland - East,2011,3
Gippsland - East,2012,3
Gippsland - East,2013,4
Gippsland - East,2014,4
Gippsland - East,2015,5
Gippsland - East,2016,3
Gippsland - South West,2011,12
Gippsland - South West,2012,9
Gippsland - South West,2013,5
Gippsland - South West,2014,4
Gippsland - South West,2015,6
Gippsland - South West,2016,5
Gladstone,2011,87
Gladstone,2012,92
Gladstone,2013,96
Gladstone,2014,96
Gladstone,2015,96
Gladstone,2016,95
Glen Eira,2011,79
Glen Eira,2012,74
Glen Eira,2013,74
Glen Eira,2014,76
Glen Eira,2015,76
Glen Eira,2016,79
Glenelg - Southern Grampians,2011,11
Glenelg - Southern Grampians,2012,11
Glenelg - Southern Grampians,2013,8
Glenelg - Southern Grampians,2014,10
Glenelg - Southern Grampians,2015,11
Glenelg - Southern Grampians,2016,8
Gold Coast - North,2011,22
Gold Coast - North,2012,26
Gold Coast - North,2013,29
Gold Coast - North,2014,33
Gold Coast - North,2015,29
Gold Coast - North,2016,25
Gold Coast Hinterland,2011,32
Gold Coast Hinterland,2012,34
Gold Coast Hinterland,2013,42
Gold Coast Hinterland,2014,42
Gold Coast Hinterland,2015,39
